filename,folder_name,meta_counter,max,min,max-min,length
0,clc,0.0,178.9695087123656,-295.25216774456237,474.22167645692804,151.0
0,clc,1.0,196.31130008074882,-271.5334302771623,467.8447303579112,149.0
0,clc,2.0,139.57170819417718,-284.6803915402007,424.25209973437785,152.0
1,clc,0.0,166.89708699506238,-255.0220417740636,421.91912876912596,150.0
1,clc,1.0,181.4446046058355,-274.4799691582681,455.9245737641036,158.0
1,clc,2.0,171.59075751134228,-422.55173546501885,594.1424929763613,154.0
10,clc,0.0,512.6023704816602,-714.3148668831248,1226.9172373647848,150.0
10,clc,1.0,517.9143147063521,-801.6861380256781,1319.6004527320301,150.0
10,clc,2.0,364.55598033975787,-801.6861380256781,1166.242118365436,150.0
100,clc,0.0,608.4427330304097,-769.4255979089314,1377.8683309393411,154.0
100,clc,1.0,429.837333794627,-769.4255979089314,1199.2629317035585,153.0
101,clc,0.0,649.8972858698488,-997.7746646703116,1647.6719505401604,166.0
101,clc,1.0,553.0696724417128,-996.7149553800714,1549.7846278217844,161.0
102,clc,0.0,393.6578424716254,-782.5722968922299,1176.2301393638554,169.0
102,clc,1.0,406.38035433339445,-687.3148134771945,1093.695167810589,162.0
102,clc,2.0,336.2193970779791,-649.2167425896963,985.4361396676753,165.0
103,clc,0.0,409.0919516958223,-758.7038757987385,1167.7958274945606,168.0
103,clc,1.0,430.34094001386285,-740.4865652163272,1170.82750523019,169.0
104,clc,0.0,244.49025096324718,-550.354150381309,794.8444013445561,161.0
104,clc,1.0,281.91764311807634,-498.2148434425128,780.1324865605891,160.0
104,clc,2.0,270.15319289892255,-478.36268098688384,748.5158738858064,161.0
105,clc,0.0,240.827748373481,-505.7533095003196,746.5810578738005,154.0
105,clc,1.0,304.4830821526769,-505.7533095003196,810.2363916529964,166.0
105,clc,2.0,286.9555302534849,-505.5823887280606,792.5379189815455,156.0
106,clc,0.0,328.88504573605684,-650.2900067227202,979.1750524587773,158.0
106,clc,1.0,346.45170457665535,-650.2900067227202,996.7417112993757,164.0
107,clc,0.0,289.07995825303584,-537.1894995878628,826.2694578408988,154.0
107,clc,1.0,297.1935211645343,-537.1894995878628,834.383020752397,157.0
107,clc,2.0,311.02174738389607,-533.1894999289193,844.2112473128154,165.0
108,clc,0.0,292.66142814044895,-557.7884119518021,850.4498400922513,162.0
108,clc,1.0,282.2544310404112,-557.7884119518021,840.0428429922133,157.0
109,clc,0.0,304.9592506319023,-585.0854981200931,890.0447487519957,164.0
109,clc,1.0,288.6774671504328,-588.1076054457877,876.7850725962205,165.0
11,clc,0.0,574.1939989529617,-690.4484045209625,1264.6424034739246,149.0
11,clc,1.0,519.8131753613077,-690.4484045209625,1210.2615798822706,147.0
