filename,folder_name,meta_counter,peak_to_peak_t,systolic_peak_index,dychrotic_notch_index,diastolic_peak_index,A2_area,A1_area,A2_A1_ratio,a1,b1,ta1,tb1,a2,b2,ta2,tb2,b2_a2,systolic_peak_c,dychrotic_notch_c,diastolic_peak_c
104,clc,0.0,41.0,58.0,77.0,99.0,51.22120875426784,83.45339829977019,1.6292742855822726,0.01971741539378801,-0.03176978552868498,180.0,21.0,0.0024806440059315163,-0.0015261944452218401,5.0,36.0,-0.6152412202526952,1.0,1.0,1.0
104,clc,1.0,33.0,57.0,71.0,90.0,43.57194236303605,81.45703417338801,1.8694836575036768,0.013610168691997826,-0.029164216958584288,154.0,23.0,0.002351944125448209,-0.001332222970867214,5.0,45.0,-0.5664347874817531,1.0,1.0,1.0
104,clc,2.0,45.0,48.0,63.0,93.0,37.66930149638346,93.18896663714756,2.473870311773485,0.01647448575400151,-0.035067409340572175,182.0,23.0,0.0025313824857043296,-0.002260384563821605,5.0,41.0,-0.8929446958675142,1.0,1.0,1.0
105,clc,0.0,31.0,49.0,62.0,80.0,37.72373699372472,95.23169751149908,2.5244502560109763,0.019872486472799544,-0.03333308114144351,172.0,19.0,0.003329121191954623,-0.001825109900647215,4.0,39.0,-0.5482257314806975,1.0,1.0,1.0
105,clc,1.0,41.0,63.0,84.0,104.0,53.77811460053757,69.7022162777907,1.2961074741191088,0.0190729746904692,-0.028306564509881508,183.0,26.0,0.0019004068815531305,-0.001248728981619207,198.0,41.0,-0.6570850662246962,1.0,1.0,1.0
105,clc,2.0,42.0,66.0,84.0,108.0,53.80987312253116,74.8384439093828,1.3907939113509378,0.01253263858291187,-0.025594243791473514,180.0,22.0,0.0020077985946210936,-0.0008670579911120857,4.0,54.0,-0.4318451031069252,1.0,1.0,1.0
106,clc,0.0,35.0,51.0,64.0,86.0,39.47289222574445,92.34559028406099,2.3394685587247808,0.02068491212266671,-0.02526926167282839,173.0,24.0,0.0017472459455531446,-0.001452865984540752,5.0,43.0,-0.8315177312263289,1.0,1.0,1.0
106,clc,1.0,25.0,54.0,64.0,79.0,35.598532285293345,95.15078912701576,2.6728851730307146,0.0180699138585056,-0.029658419587005824,175.0,24.0,0.001833697142291979,-0.0016105928847069961,6.0,39.0,-0.8783309127557892,1.0,1.0,1.0
107,clc,0.0,108.0,66.0,174.0,174.0,126.03357308220924,2.8833781865132115,0.0228778579865576,0.015392735956555575,-0.028840037717654976,181.0,22.0,0.0022506679654867023,-0.0014251872258597142,4.0,39.0,-0.6332285560173779,1.0,1.0,1.0
107,clc,1.0,32.0,50.0,63.0,82.0,37.248191236276114,91.76038646000393,2.4634856999616734,0.016281335796154508,-0.03266390227704352,179.0,22.0,0.002358051042541109,-0.002003974602316383,5.0,37.0,-0.8498436065051574,1.0,1.0,1.0
